Date,Open,High,Low,Close,Adj Close,Volume
2023-11-15, 74.46 , 78.30 , 74.21 , 76.35 , 76.35 ," 3,954,900.00 "
2023-11-16, 76.15 , 76.62 , 74.18 , 76.55 , 76.55 ," 3,108,900.00 "
2023-11-17, 77.15 , 77.42 , 74.78 , 76.44 , 76.44 ," 3,157,500.00 "
2023-11-20, 76.80 , 79.80 , 76.01 , 78.96 , 78.96 ," 3,543,800.00 "
2023-11-21, 77.08 , 77.67 , 75.90 , 77.14 , 77.14 ," 2,714,000.00 "
2023-11-22, 78.06 , 78.67 , 76.83 , 78.17 , 78.17 ," 2,203,500.00 "
2023-11-24, 78.66 , 81.12 , 77.77 , 78.52 , 78.52 ," 2,153,000.00 "
2023-11-27, 78.36 , 78.36 , 75.66 , 77.72 , 77.72 ," 2,960,100.00 "
2023-11-28, 77.32 , 78.25 , 75.84 , 78.18 , 78.18 ," 2,240,000.00 "
2023-11-29, 78.95 , 80.89 , 78.85 , 79.01 , 79.01 ," 2,569,800.00 "
2023-11-30, 79.63 , 80.20 , 77.52 , 77.70 , 77.70 ," 3,315,000.00 "
2023-12-01, 76.58 , 80.26 , 74.50 , 79.83 , 79.83 ," 3,952,300.00 "
2023-12-04, 79.56 , 80.73 , 77.66 , 79.87 , 79.87 ," 3,167,417.00 "
